,Unnamed: 0,State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long,lat,long
316,316,ABIA,ISIALA NGWA NORTH,AMASAA NTIGHA,01-06-07-015,UMUOGELE - C/SCH. UMUOGELE,173,584,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,77,80,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1130/result_162362_1677506313_thumb.jpg,5.2868186,7.4165053,,
324,324,ABIA,ISIALA NGWA NORTH,AMAPU NTIGHA,01-06-08-008,UMUOKUZA - VILLAGE HALL UMUOKUZA,131,353,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,86,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1138/result_162375_1677506931_thumb.jpg,5.2485934,7.4023792,,
329,329,ABIA,ISIALA NGWA NORTH,MBAWSI / UMUOMAINTA,01-06-10-002,IGBERE QUARTERS - HANDICRAFT CENTRE,0,424,TRUE,-1,FALSE,TRUE,TRUE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/002/002-1677399546.pdf,5.2868186,7.4165053,,
331,331,ABIA,ISIALA NGWA SOUTH,AMAISE / AMAISE ANABA,01-07-01-001,UMUAGHARATA VILLAGE HALL.,95,569,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,70,10,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17594/pu/1170/1170-1677513488.pdf,5.2818193,7.3368073,,
350,350,ABIA,ISIALA NGWA SOUTH,NGWAOBI,01-07-02-007,UMUWAOMA - VILLAGE HALL,52,418,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,0,33,12,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17595/pu/1190/1190-1677514977.pdf,5.2726015,7.3030592,,
376,376,ABIA,ISIALA NGWA SOUTH,EHINA GURU OSOKWA,01-07-05-004,UMUHU - UMUHU HALL,141,524,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,99,32,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17598/pu/1221/1221-1677577830.pdf,5.3031855,7.4406624,,
389,389,ABIA,ISIALA NGWA SOUTH,EHINA GURU OSOKWA,01-07-05-019,IKEM CIVIL CENTER - NKWO MKT. SQUARE,96,340,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,57,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17598/pu/1236/1236-1677517937.pdf,5.3175563,7.4489531,,
390,390,ABIA,ISIALA NGWA SOUTH,EHINA GURU OSOKWA,01-07-05-020,"UMUAGWU MEETING CENTRE
UMUAGWU.",66,375,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,26,34,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17598/pu/1237/1237-1677578261.pdf,5.3175563,7.4489531,,
391,391,ABIA,ISIALA NGWA SOUTH,AKUNEKPU EZIAMA NA OBUBA,01-07-06-001,UMUOKOROGU - VILLAGE HALL,151,503,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,127,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17599/pu/1238/1238-1677511143.pdf,5.3519143,7.4056706,,
440,440,ABIA,ISIALA NGWA SOUTH,OVUOKWU,01-07-09-010,OBICHUKWU - VILLAGE HALL,105,375,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,63,24,5,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17602/pu/1294/1294-1677510976.pdf,5.3215599,7.3720837,,
442,442,ABIA,ISIALA NGWA SOUTH,OKPORO AHABA,01-07-10-003,MBUTU UMUOKO - VILLAGE HALL,110,619,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,56,14,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3109/ward/17603/pu/1297/1297-1677515659.pdf,5.2112609,7.3955576,,
454,454,ABIA,ISUIKWUATO,IMENYI,01-08-01-007,AHABA IMENYI SECONDARY SCHOOL - AHABA,198,583,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,4,190,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1306/result_162620_1677519862_thumb.jpg,5.7196703,7.5599321,,
455,455,ABIA,ISUIKWUATO,IMENYI,01-08-01-008,AMAOGUDU VILLAGE SQUARE - AMAOGUDU,161,629,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,131,6,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1307/result_162621_1677519959_thumb.jpg,5.7229083,7.5607556,,
459,459,ABIA,ISUIKWUATO,EZERE,01-08-02-003,UMUAGU VILLAGE SQUARE - OZARA,94,314,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,88,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1312/result_162629_1677585260_thumb.jpg,5.7873729,7.5294628,,
466,466,ABIA,ISUIKWUATO,EZERE,01-08-02-012,OHONJA HALL - OHONJA,145,456,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,7,125,1,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1321/result_162638_1677596551_thumb.jpg,5.7294358,7.5125412,,
470,470,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-002,AMABA DAILY MARKET - AMABA,159,641,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,141,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1328/result_162646_1677514184_thumb.jpg,5.7300801,7.513218,,
472,472,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-004,ISUIKWUATO HIGH SCHOOL - OTAMKPA,96,493,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,83,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1330/result_162648_1677515593_thumb.jpg,5.7394621,7.4981619,,
473,473,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-005,MGBELU OTAMPA HALL / OTAMKPA,208,635,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,174,21,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1331/result_162649_1677513336_thumb.jpg,5.7370194,7.5133026,,
474,474,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-006,ORIE OTAMKPA MARKET SQUARE / UMUASUA,215,794,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,181,2,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1332/result_162650_1677515698_thumb.jpg,5.7210955,7.5010369,,
475,475,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-008,NDIOHIA VILLAGE SQUARE / AMABA,116,399,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,3,104,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1334/result_162652_1677528251_thumb.jpg,5.7300801,7.513218,,
476,476,ABIA,ISUIKWUATO,ISIALA AMAWU,01-08-03-009,AKOBA/AMAOGUDU VILLAGE SQUARE / OTAMKPA,173,586,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,131,20,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1335/result_162653_1677527827_thumb.jpg,5.7229083,7.5607556,,
485,485,ABIA,ISUIKWUATO,ISU AMAWU,01-08-04-008,UMUEBERE VILLAGE HALL UMUEBERE NKUMA,147,631,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,131,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1344/result_162663_1677498093_thumb.jpg,5.734185,7.4489531,,
486,486,ABIA,ISUIKWUATO,ISU AMAWU,01-08-04-009,AMAEDELA VILLAGE SQUARE / UMUOBIALA,241,814,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,225,2,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1345/result_162664_1677503305_thumb.jpg,5.7075698,7.4614631,,
503,503,ABIA,ISUIKWUATO,OGUNDUASA,01-08-05-010,OGBATA / AMA OLEKWERE SQUARE - AMIYI OBINOHIA,162,532,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,154,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1365/result_162684_1677499384_thumb.jpg,5.7672342,7.4401027,,
506,506,ABIA,ISUIKWUATO,OGUNDUASA,01-08-05-013,EZIAMA NUNYA AGBOGORO SQUARE - NUNYA,161,636,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,140,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1368/result_162687_1677498391_thumb.jpg,5.6963749,7.4181949,,
507,507,ABIA,ISUIKWUATO,OGUNDUASA,01-08-05-014,OGBORO AMAOKWU HALL - AMIYI,164,581,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,145,6,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1369/result_162688_1677498179_thumb.jpg,5.7672342,7.4401027,,
508,508,ABIA,ISUIKWUATO,UMUNNEKWU,01-08-06-001,AMAWO VILLAGE SQUARE - MGBELU UMUNNEKWU,181,597,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,168,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17609/pu/1376/1376-1677528788.pdf,5.7810293,7.4651828,,
516,516,ABIA,ISUIKWUATO,ACHARA / MGBUGWU,01-08-07-004,UGWUELE COMMUINTY SCHOOL - MBAUGWU,177,892,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,99,11,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3110/ward/17610/pu/1389/1389-1677524763.pdf,5.8490828,7.4156035,,
521,521,ABIA,ISUIKWUATO,ACHARA / MGBUGWU,01-08-07-012,NKWOACHARA MARKET SQUARE - AMAOKWE ACHARA,169,1153,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/07/pu/012/012-1677373979.pdf,5.8342272,7.4295559,,
532,532,ABIA,ISUIKWUATO,UMUANYI / ABSU,01-08-10-001,ABIA STATE UNIVERSITY - UTURU,264,4747,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,259,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1410/result_162742_1677658783_thumb.jpg,5.8225266,7.3940761,,
539,539,ABIA,OBINGWA,ABAYI  I,01-09-01-005,ABAYI OBEALA  VILLAGE SQUARE,121,672,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,100,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1420/result_162767_1677516788_thumb.jpg,5.1365425,7.4219122,,
570,570,ABIA,OBINGWA,MGBOKO UMUANUNU,01-09-03-012,UMUOKAHIA - UMUKOHIA COMM. PRI. SCH.,165,1025,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/03/pu/012/012-1677379529.pdf,5.2545434,7.5138947,,
575,575,ABIA,OBINGWA,MGBOKO UMUANUNU,01-09-03-021,"UMUARO II - UMUARO VILLAGE
SQUARE",109,747,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,76,8,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1469/result_162846_1677520287_thumb.jpg,5.2306249,7.455715,,
576,576,ABIA,OBINGWA,MGBOKO UMUANUNU,01-09-03-023,UMUARO - UMUARO VILLAGE SQUARE,208,1101,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,110,67,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1471/result_162848_1677519957_thumb.jpg,5.2306249,7.455715,,
584,584,ABIA,OBINGWA,AHIABA,01-09-05-002,"OBIKABIA/UMUARIMA -
UMUARIMA VILLAGE SQUARE",120,629,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,113,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1504/result_162891_1677507879_thumb.jpg,5.1574894,7.4002872,,
585,585,ABIA,OBINGWA,AHIABA,01-09-05-003,"UMUONYEGWA/UMUONYEGWA
VILL. HALL",99,563,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,87,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1505/result_162892_1677513090_thumb.jpg,5.1574894,7.4002872,,
